Time,Latitude,Longitude
997.0,36.15282577,-86.85541861
998.0,36.15288457,-86.8550831
999.0,36.1529484,-86.85476538
1000.0,36.15300808,-86.85444637
1001.0,36.15305496,-86.85412031
1002.0,36.153121,-86.85380798
1003.0,36.15316842,-86.85349031
1004.0,36.15323847,-86.85320327
1005.0,36.15328232,-86.85287016
1006.0,36.15333045,-86.85255527
1007.0,36.15336275,-86.85224302
1008.0,36.15340368,-86.8519344
1009.0,36.15344007,-86.85162649
1010.0,36.15347276,-86.85131714
1011.0,36.15349878,-86.85100262
1012.0,36.15352571,-86.85068459
1013.0,36.15354678,-86.85036848
1014.0,36.15356096,-86.85004618
1015.0,36.15357402,-86.8497342
1016.0,36.15358354,-86.84941486
1017.0,36.15359296,-86.84910328
1018.0,36.15359762,-86.84879021
1019.0,36.15360594,-86.84847995
1020.0,36.15361892,-86.84816699
1021.0,36.15363061,-86.84785059
1022.0,36.15363455,-86.84753825
1023.0,36.15364399,-86.84722655
1024.0,36.15365622,-86.84691533
1025.0,36.15366363,-86.84661591
1026.0,36.15366911,-86.84631063
1027.0,36.15368079,-86.84601248
1028.0,36.15369255,-86.84570869
1029.0,36.15370202,-86.84540671
1030.0,36.15370965,-86.84510511
1031.0,36.15372203,-86.84480118
1032.0,36.15373371,-86.84450034
1033.0,36.15374504,-86.8441971
1034.0,36.15375726,-86.8439037
1035.0,36.15376497,-86.8436033
1036.0,36.15377588,-86.84329482
1037.0,36.15378556,-86.84300394
1038.0,36.15379407,-86.84271203
1039.0,36.15380275,-86.84241666
1040.0,36.15381527,-86.84212481
1041.0,36.15382259,-86.84181566
1042.0,36.1538317,-86.84150239
1043.0,36.15384091,-86.84119991
1044.0,36.15385345,-86.84089668
1045.0,36.15386232,-86.84059767
1046.0,36.15386658,-86.84029183
1047.0,36.15388439,-86.83999467
1048.0,36.15389924,-86.83970717
1049.0,36.15390257,-86.83941352
1050.0,36.15391884,-86.83912597
1051.0,36.15392574,-86.83883044
1052.0,36.15393431,-86.83853495
1053.0,36.15394454,-86.83824237
